                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95026,                  0.723,                 0.8395,                0.64837,                0.60832,                0.60928,                0.39945,                 0.9197,                0.63655,                0.83307,             0.00017507,             0.00017507,             0.00017507
                      2,                 0.9627,                0.68677,                0.84164,                0.57669,                 0.6117,                0.61083,                0.40133,                0.92431,                0.62763,                0.83459,             0.00034128,             0.00034128,             0.00034128
                      3,                0.95595,                0.65329,                 0.8418,                0.60966,                0.62866,                0.62046,                0.40625,                0.90383,                0.60222,                0.83314,             0.00049834,             0.00049834,             0.00049834
                      4,                0.94052,                0.61843,                0.83921,                0.58573,                0.64139,                0.64413,                 0.4268,                0.89501,                0.59829,                0.83095,             0.00048489,             0.00048489,             0.00048489
                      5,                0.92989,                0.60065,                0.83811,                0.61093,                0.64022,                0.64359,                0.42503,                0.89655,                0.57323,                0.83128,             0.00048489,             0.00048489,             0.00048489
                      6,                0.91443,                0.58032,                0.83636,                 0.6032,                0.67298,                0.64744,                0.43165,                0.87799,                0.56583,                0.82903,             0.00047119,             0.00047119,             0.00047119
                      7,                0.91389,                0.56848,                0.83526,                0.61872,                0.67725,                0.65591,                0.43968,                0.87721,                0.53804,                0.82882,             0.00045748,             0.00045748,             0.00045748
                      8,                0.90306,                0.55986,                0.83385,                 0.6267,                0.68386,                0.66981,                0.44818,                0.86391,                0.52616,                0.82642,             0.00044378,             0.00044378,             0.00044378
                      9,                0.89866,                0.55082,                0.83409,                0.61096,                0.67923,                0.66021,                0.44114,                0.86896,                0.55331,                0.82668,             0.00043007,             0.00043007,             0.00043007
                     10,                0.89201,                0.54095,                0.83107,                0.62084,                0.69328,                0.67619,                0.45417,                0.86259,                0.51523,                 0.8272,             0.00041637,             0.00041637,             0.00041637
                     11,                0.88482,                0.53424,                0.83122,                0.63516,                0.70388,                0.67251,                0.44872,                0.86201,                0.52802,                 0.8267,             0.00040267,             0.00040267,             0.00040267
                     12,                0.88216,                0.53017,                0.83019,                0.62522,                0.69985,                0.68198,                0.45967,                0.84951,                0.51038,                0.82463,             0.00038896,             0.00038896,             0.00038896
                     13,                0.87457,                0.52482,                0.82967,                0.63045,                 0.7173,                  0.685,                0.45618,                0.85937,                0.52703,                0.82605,             0.00037526,             0.00037526,             0.00037526
